datetime,open,high,low,close,volume,symbol
2019-12-01,31.439,33.8,29.202,32.357,1247236000,NFLX
2020-01-01,32.61,35.985,32.12,34.509,1698740000,NFLX
2020-02-01,34.724,39.295,34.628,36.903,1140560000,NFLX
2020-03-01,37.311,39.352,29.025,37.55,2019791000,NFLX
2020-04-01,37.605,44.952,35.751,41.985,2251116000,NFLX
2020-05-01,41.51,45.897,39.786,41.973,1350558000,NFLX
2020-06-01,41.883,47.401,40.425,45.504,1172799000,NFLX
2020-07-01,45.4,57.537,45.4,48.888,2322063000,NFLX
2020-08-01,49.086,54.904,46.655,52.956,1162619000,NFLX
2020-09-01,53.26,55.739,45.86,50.003,1187969000,NFLX
2020-10-01,50.603,57.249,47.221,47.574,1543024000,NFLX
2020-11-01,47.887,51.873,46.341,49.07,917889000,NFLX
2020-12-01,49.234,54.55,49.129,54.073,775641000,NFLX
2021-01-01,53.9,59.329,48.567,53.239,1399886000,NFLX
2021-02-01,53.679,56.665,51.828,53.885,619023000,NFLX
2021-03-01,54.557,55.699,49.285,52.166,901839000,NFLX
2021-04-01,52.993,56.356,49.9,51.347,1115733000,NFLX
2021-05-01,51.265,51.895,47.854,50.281,669276000,NFLX
2021-06-01,50.401,53.613,48.214,52.821,785606000,NFLX
2021-07-01,52.572,55.754,50.466,51.757,772212000,NFLX
2021-08-01,51.9,56.948,50.537,56.919,547477000,NFLX
2021-09-01,56.9,61.9,56.808,61.034,823175000,NFLX
2021-10-01,60.424,69.097,59.468,69.031,985763000,NFLX
2021-11-01,68.906,70.099,64.001,64.19,645302000,NFLX
2021-12-01,64.948,65.452,58.174,60.244,599753000,NFLX
2022-01-01,60.561,60.999,35.146,42.714,2416620000,NFLX
2022-02-01,43.296,45.848,35.472,39.452,1510107000,NFLX
2022-03-01,39.16,39.65,32.982,37.459,1194919000,NFLX
2022-04-01,37.68,39.602,18.56,19.036,4033254000,NFLX
2022-05-01,19.171,20.438,16.271,19.744,2516158000,NFLX
2022-06-01,19.87,20.738,16.428,17.487,1925527000,NFLX
2022-07-01,17.649,23.075,16.97,22.49,2700837000,NFLX
2022-08-01,22.31,25.199,21.874,22.356,1522583000,NFLX
2022-09-01,22.072,25.049,21.469,23.544,2339207000,NFLX
2022-10-01,23.785,30.563,21.173,29.188,3352638000,NFLX
2022-11-01,29.617,31.271,25.209,30.553,1856830000,NFLX
2022-12-01,30.399,33.272,27.341,29.488,1930809000,NFLX
2023-01-01,29.806,36.902,28.87,35.386,2064174000,NFLX
2023-02-01,35.386,37.943,31.43,32.213,1233741000,NFLX
2023-03-01,32.155,34.584,28.533,34.548,1575554000,NFLX
2023-04-01,34.183,34.98,31.61,32.993,1279910000,NFLX
2023-05-01,32.944,40.511,31.562,39.523,1454850000,NFLX
2023-06-01,39.741,44.865,39.308,44.049,1472532000,NFLX
2023-07-01,43.976,48.5,41.188,43.897,1686120000,NFLX
2023-08-01,43.737,44.525,39.815,43.368,1073031000,NFLX
2023-09-01,43.773,45.345,37.11,37.76,1002925000,NFLX
2023-10-01,37.748,41.884,34.473,41.169,1640406000,NFLX
2023-11-01,41.477,48.27,41.418,47.397,717437000,NFLX
2023-12-01,47.317,50.089,44.573,48.688,804230000,NFLX
2024-01-01,48.319,57.964,46.186,56.411,1459217000,NFLX
2024-02-01,56.702,60.536,54.9,60.292,716465000,NFLX
2024-03-01,59.981,63.439,59.2,60.733,601511000,NFLX
2024-04-01,60.8,63.9,54.201,55.064,940103000,NFLX
2024-05-01,54.784,66.425,54.425,64.162,689993000,NFLX
2024-06-01,64.522,68.988,62.644,67.488,542109000,NFLX
2024-07-01,67.489,69.749,61.7,62.835,809087000,NFLX
2024-08-01,62.925,71.133,58.704,70.135,673177000,NFLX
2024-09-01,70.01,72.526,66.08,70.927,531021000,NFLX
2024-10-01,71.364,77.3,67.788,75.603,853369000,NFLX
2024-11-01,75.348,90.8,74.777,88.681,641615000,NFLX
2024-12-01,88.751,94.175,88.412,89.132,572070000,NFLX
