datetime,open,high,low,close,volume,symbol
2019-12-01,5.4115,6.04525,5.00925,5.8825,6543532000,NVDA
2020-01-01,5.96875,6.4875,5.78175,5.91075,6125412000,NVDA
2020-02-01,5.8925,7.908,5.88625,6.75175,11848652000,NVDA
2020-03-01,6.9225,7.12225,4.517,6.59,15773952000,NVDA
2020-04-01,6.39125,7.605,5.95975,7.307,11278304000,NVDA
2020-05-01,7.10875,9.18175,7.021,8.8755,12548876000,NVDA
2020-06-01,8.83325,9.6425,8.658,9.49775,9719464000,NVDA
2020-07-01,9.52075,10.79225,9.413,10.61475,8094452000,NVDA
2020-08-01,10.7325,13.575,10.71525,13.3745,9672544000,NVDA
2020-09-01,13.48,14.72675,11.70425,13.5305,15856552000,NVDA
2020-10-01,13.758,14.3485,12.3,12.534,8022356000,NVDA
2020-11-01,12.65775,14.6915,12.395,13.4015,7594820000,NVDA
2020-12-01,13.49225,13.73125,12.76325,13.055,5120996000,NVDA
2021-01-01,13.10425,13.99925,12.586,12.98975,6154172000,NVDA
2021-02-01,13.05325,15.3725,12.90275,13.7145,6680324000,NVDA
2021-03-01,13.875,13.925,11.5665,13.34825,7648656000,NVDA
2021-04-01,13.57225,16.21425,13.51125,15.0095,6718796000,NVDA
2021-05-01,15.125,16.2775,13.459,16.2445,7054380000,NVDA
2021-06-01,16.27,20.1625,15.90325,20.0025,10273292000,NVDA
2021-07-01,20.125,20.875,17.8655,19.499,7823077000,NVDA
2021-08-01,19.7,23.043,18.762,22.385,6416386000,NVDA
2021-09-01,22.485,22.986,20.467,20.716,4998986000,NVDA
2021-10-01,20.75,25.709,19.555,25.567,4971078000,NVDA
2021-11-01,25.649,34.647,25.227,32.676,10811170000,NVDA
2021-12-01,33.219,33.289,27.145,29.411,11058505000,NVDA
2022-01-01,29.815,30.711,20.888,24.486,10682164000,NVDA
2022-02-01,25.104,26.925,20.89,24.385,10644270000,NVDA
2022-03-01,24.291,28.946,20.65,27.286,11644599000,NVDA
2022-04-01,27.375,27.558,18.29,18.547,11114390000,NVDA
2022-05-01,18.541,20.4,15.567,18.672,13833021000,NVDA
2022-06-01,18.724,19.619,14.862,15.159,10554791000,NVDA
2022-07-01,14.899,18.244,14.055,18.163,10564476000,NVDA
2022-08-01,18.182,19.274,14.959,15.094,12069648000,NVDA
2022-09-01,14.209,14.547,11.946,12.139,13130578000,NVDA
2022-10-01,12.347,13.85,10.813,13.497,12549277000,NVDA
2022-11-01,13.811,16.998,12.956,16.923,10600603000,NVDA
2022-12-01,16.999,18.79,13.884,14.614,8946152000,NVDA
2023-01-01,14.851,20.628,14.034,19.537,9454960000,NVDA
2023-02-01,19.691,23.888,19.611,23.216,10393479000,NVDA
2023-03-01,23.192,27.834,22.297,27.777,11263731000,NVDA
2023-04-01,27.509,28.11,26.22,27.749,7436450000,NVDA
2023-05-01,27.84,41.938,27.24,37.834,11697819000,NVDA
2023-06-01,38.489,43.99,37.356,42.302,10527050000,NVDA
2023-07-01,42.517,48.088,41.346,46.729,8706845000,NVDA
2023-08-01,46.46,50.266,40.311,49.355,13632152000,NVDA
2023-09-01,49.762,49.8,40.98,43.499,8579273000,NVDA
2023-10-01,44.03,47.609,39.23,40.78,10141101000,NVDA
2023-11-01,40.884,50.548,40.869,46.77,9144618000,NVDA
2023-12-01,46.525,50.433,45.01,49.522,7411887000,NVDA
2024-01-01,49.244,63.493,47.32,61.527,9706237000,NVDA
2024-02-01,62.1,82.394,61.65,79.112,11077899000,NVDA
2024-03-01,80.0,97.4,79.435,90.356,12149218000,NVDA
2024-04-01,90.299,92.225,75.606,86.402,10074181000,NVDA
2024-05-01,85.077,115.819,81.255,109.633,9647971000,NVDA
2024-06-01,113.621,140.75999,112.003,123.54,7442539100,NVDA
2024-07-01,123.47,136.14999,102.54,117.02,6405438600,NVDA
2024-08-01,117.53,131.25999,90.69,119.37,8105367800,NVDA
2024-09-01,116.01,127.67,100.95,121.44,6272211000,NVDA
2024-10-01,121.77,144.42,115.14,132.75999,5627917200,NVDA
2024-11-01,134.7,152.89,131.8,138.25,4498075300,NVDA
2024-12-01,138.83,146.53999,126.86,134.28999,4085855200,NVDA
